Внутренняя нумерация,Дата отгрузки,№ Заказа,Клиент,Номенклатура,Профиль,Марка,Размер мм.,Длина,Кол-во тн в заказе,ИТОГО остаток к выполнению,Взято со склада (тн),ИТОГО остатка к завершению,Тех. отходы 2,Дел. Остатки 2,КИМ 2,Исходная Номенклатура/ наличие,Профиль,НТД,Марка стали,Размер,Длина,Исх. Остаток ст. (тн),Взято из остатка (тн),Свободный остаток (тн),Тех. отходы 3,Дел. Остатки 3,КИМ 3,ИТОГО остатка к завершению 3,Исходная Номенклатура/ ожидание,Профиль,Марка,Размер,Кол-во тн.,Длина,Дата размещения,Поставщик,Ожидаемая дата поставки
504,30.04.2026,АР-098/0001,ПРОМЦЕПЬ ООО,"ГОСТ 4543-2016/ГОСТ 7417-75 круг 21,0мм ст.40Х h9 В Н/Д НГ консервация м/упаковка",Круг,ст.40Х,21,НД,1,1,"1,032",0,"0,03","0,002","0,969","Круг г/к 22,0мм ст.40Х В1 2ГП МД 6000,",круг,ГОСТ 4543-2016 / ГОСТ 2590-2006,ст.40Х,22,МД 6000,"2,14","1,03","1,11",,,,,,,,,,,,,
509,10.05.2026,АР-104/0001,САЛЬСКСЕЛЬМАШ ООО,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 18,0мм ст.20 h11 В НГ Н/Д консервация без упаковки",Круг,ст.20,18,НД,4,4,0,"4,127",0,0,0,,,,,,,,,,,,,,,,,,,,,,
510,10.05.2026,АР-104/0001,САЛЬСКСЕЛЬМАШ ООО,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 18,0мм ст.35 h11 В НГ Н/Д консервация без упаковки",Круг,ст.35,18,НД,4,4,0,"4,127",0,0,0,,,,,,,,,,,,,,,,,,,,,,
511,10.05.2026,АР-104/0001,САЛЬСКСЕЛЬМАШ ООО,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 20,0мм ст.35 h11 В НГ Н/Д консервация без упаковки",Круг,ст.35,20,НД,4,4,"4,127",0,"0,121","0,007","0,969","Круг г/к 22,0мм ст.35 В1 2ГП МД 6000,",круг,ГОСТ 1050-2013 / ГОСТ 2590-2006,ст.35,22,МД 6000,"3,90","3,90","0,00",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Круг г/к 22,0мм ст.35 В1 2ГП НД,",круг,ГОСТ 1050-2013 / ГОСТ 2590-2006,ст.35,22,НД,"1,09","0,23","0,87",,,,,,,,,,,,,
514,10.05.2026,АР-104/0001,САЛЬСКСЕЛЬМАШ ООО,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 26,0мм ст.35 h11 В НГ Н/Д консервация без упаковки",Круг,ст.35,26,НД,2,"1,485",0,"1,532",0,0,0,,,,,,,,,,,,,,,,,,,,,,
515,10.05.2026,АР-104/0001,САЛЬСКСЕЛЬМАШ ООО,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 28,0мм ст.35 h11 В НГ Н/Д консервация без упаковки",Круг,ст.35,28,НД,5,5,"1,684","3,475","0,151","0,008","0,969","Круг г/к 30,0мм ст.35 В1 2ГП МД 6000,",круг,ГОСТ 1050-2013 / ГОСТ 2590-2006,ст.35,30,МД 6000,"1,68","1,68","0,00",,,,,,,,,,,,,
516,10.05.2026,АР-104/0001,САЛЬСКСЕЛЬМАШ ООО,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 30,0мм ст.35 h11 В НГ Н/Д консервация без упаковки",Круг,ст.35,30,НД,20,"7,249",0,"7,479",0,0,0,,,,,,,,,,,,,,,,,,,,,,
517,10.05.2026,АР-104/0001,САЛЬСКСЕЛЬМАШ ООО,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 40,0мм ст.35 h11 В НГ Н/Д консервация без упаковки",Круг,ст.35,40,НД,20,20,0,"20,636",0,0,0,,,,,,,,,,,,,,,,,,,,,,
518,10.05.2026,АР-104/0001,САЛЬСКСЕЛЬМАШ ООО,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 45,0мм ст.35 h11 В НГ Н/Д консервация без упаковки",Круг,ст.35,45,НД,10,10,"0,327","9,992","0,301","0,018","0,969","Круг г/к 46,0мм ст.35 В1 2ГП МД 6000,",круг,ГОСТ 1050-2013 / ГОСТ 2590-2006,ст.35,46,МД 6000,"0,33","0,33","0,00",,,,,,,,,,,,,
521,20.05.2026,АР-105/0001,УМК-ИНВЕСТ ООО,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 14,0мм ст.20 h11 В НГ Н/Д консервация без упаковки",Круг,ст.20,14,НД,"1,5","1,5",0,"1,548",0,0,0,,,,,,,,,,,,,,,,,,,,,,
523,20.05.2026,АР-105/0001,УМК-ИНВЕСТ ООО,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 38,0мм ст.20х5550 h11 В НГ М/Д консервация без упаковки",Круг,ст.20,38,МД 5550,26,26,0,"26,991",0,0,0,,,,,,,,,,,,,,,,,,,,,,
526,30.04.2026,АР-117/0001,"ООО ""ЗАКБ""","ГОСТ 1414-75/ГОСТ 7417-75 круг 26,0мм ст.А12 h11 В НГ МД 3000 консервация, без упаковки",Круг,ст.А12,26,МД 6000,5,5,"5,22",0,"0,152","0,568","0,862","Круг г/к 28,0мм ст.А12 В1 2ГП МД 6000,",круг,ГОСТ 1414-75 / ГОСТ 2590-2006,ст.А12,28,МД 6000,"29,90","5,22","24,68",,,,,,,,,,,,,
529,30.04.2026,АР-117/0002,МЕТАЛЛСЕРВИС АО,"ГОСТ 4543-2016/ГОСТ 7417-75 круг 16,0мм ст.40Х h11 В НГ Н/Д консервация без упаковки",Круг,ст.40Х,16,НД,2,2,"2,063",0,"0,06","0,003","0,969","Круг г/к 18,0мм ст.40Х В1 2ГП МД 6000,",круг,ГОСТ 4543-2016 / ГОСТ 2590-2006,ст.40Х,18,МД 6000,"7,23","2,06","5,17",,,,,,,,,,,,,
530,30.04.2026,АР-117/0002,МЕТАЛЛСЕРВИС АО,"ГОСТ 4543-2016/ГОСТ 7417-75 круг 18,0мм ст.40Х h11 В НГ Н/Д консервация без упаковки",Круг,ст.40Х,18,НД,3,3,0,"3,095",0,0,0,,,,,,,,,,,,,,,,,,,,,,
531,30.04.2026,АР-117/0002,МЕТАЛЛСЕРВИС АО,"ГОСТ 4543-2016/ГОСТ 7417-75 круг 22,0мм ст.40Х h11 В НГ Н/Д консервация без упаковки",Круг,ст.40Х,22,НД,2,2,"1,187","0,877","0,06","0,003","0,969","Круг г/к 24,0мм ст.40Х В1 2ГП МД 6000,",круг,ГОСТ 4543-2016 / ГОСТ 2590-2006,ст.40Х,24,МД 6000,"1,19","1,19","0,00",,,,,,,,,,,,,
532,30.04.2026,АР-117/0002,МЕТАЛЛСЕРВИС АО,"ГОСТ 4543-2016/ГОСТ 7417-75 круг 25,0мм ст.40Х h11 В НГ Н/Д консервация без упаковки",Круг,ст.40Х,25,НД,2,2,"2,039","0,025","0,06","0,003","0,969","Круг г/к 26,0мм ст.40Х В1 2ГП НД,",круг,ГОСТ 4543-2016 / ГОСТ 2590-2006,ст.40Х,26,НД,"2,04","2,04","0,00",,,,,,,,,,,,,
533,30.04.2026,АР-117/0002,МЕТАЛЛСЕРВИС АО,"ГОСТ 4543-2016/ГОСТ 7417-75 круг 26,0мм ст.40Х h11 В НГ Н/Д консервация без упаковки",Круг,ст.40Х,26,НД,2,2,"1,979","0,084","0,06","0,003","0,969","Круг г/к 28,0мм ст.40Х В1 2ГП МД 6000,",круг,ГОСТ 4543-2016 / ГОСТ 2590-2006,ст.40Х,28,МД 6000,"1,98","1,98","0,00",,,,,,,,,,,,,
534,30.04.2026,АР-117/0002,МЕТАЛЛСЕРВИС АО,"ГОСТ 4543-2016/ГОСТ 7417-75 круг 27,0мм ст.40Х h11 В НГ Н/Д консервация без упаковки",Круг,ст.40Х,27,НД,1,1,0,"1,032",0,0,0,,,,,,,,,,,,,,,,,,,,,,
535,30.04.2026,АР-117/0002,МЕТАЛЛСЕРВИС АО,"ГОСТ 4543-2016/ГОСТ 7417-75 круг 30,0мм ст.40Х h11 В НГ Н/Д консервация без упаковки",Круг,ст.40Х,30,НД,3,3,"3,095",0,"0,09","0,005","0,969","Круг г/к 32,0мм ст.40Х В1 2ГП МД 6000,",круг,ГОСТ 4543-2016 / ГОСТ 2590-2006,ст.40Х,32,МД 6000,"5,06","3,10","1,96",,,,,,,,,,,,,
536,30.04.2026,АР-117/0002,МЕТАЛЛСЕРВИС АО,"ГОСТ 4543-2016/ГОСТ 7417-75 круг 35,0мм ст.40Х h11 В НГ Н/Д консервация без упаковки",Круг,ст.40Х,35,НД,4,4,0,"4,127",0,0,0,,,,,,,,,,,,,,,,,,,,,,
537,30.04.2026,АР-117/0002,МЕТАЛЛСЕРВИС АО,"ГОСТ 4543-2016/ГОСТ 7417-75 круг 40,0мм ст.40Х h11 В НГ Н/Д консервация без упаковки",Круг,ст.40Х,40,НД,3,3,"2,947","0,149","0,09","0,005","0,969","Круг г/к 42,0мм ст.40Х В1 2ГП МД 6000,",круг,ГОСТ 4543-2016 / ГОСТ 2590-2006,ст.40Х,42,МД 6000,"0,16","0,16","0,00",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Круг г/к 42,0мм ст.40Х В1 2ГП НД,",круг,ГОСТ 4543-2016 / ГОСТ 2590-2006,ст.40Х,42,НД,"2,79","2,79","0,00",,,,,,,,,,,,,
538,30.04.2026,АР-117/0002,МЕТАЛЛСЕРВИС АО,"ГОСТ 4543-2016/ГОСТ 7417-75 круг 45,0мм ст.40Х h11 В НГ Н/Д консервация без упаковки",Круг,ст.40Х,45,НД,2,2,"2,064",0,"0,06","0,004","0,969","Круг г/к 46,0мм ст.40Х В1 2ГП МД 6000,",круг,ГОСТ 4543-2016 / ГОСТ 2590-2006,ст.40Х,46,МД 6000,"2,35","2,06","0,29",,,,,,,,,,,,,
539,30.04.2026,АР-117/0002,МЕТАЛЛСЕРВИС АО,"ГОСТ 4543-2016/ГОСТ 7417-75 круг 60,0мм ст.40Х h11 В НГ Н/Д консервация без упаковки",Круг,ст.40Х,60,НД,4,4,"0,126","4,001","0,121","0,007","0,969","Круг г/к 62,0мм ст.40Х В1 2ГП НД,",круг,ГОСТ 4543-2016 / ГОСТ 2590-2006,ст.40Х,62,НД,"0,13","0,13","0,00",,,,,,,,,,,,,
540,30.04.2026,АР-117/0002,МЕТАЛЛСЕРВИС АО,"ГОСТ 1414-75/ГОСТ 7417-75 круг 50,0мм ст.А12 h11 В НГ Н/Д консервация без упаковки",Круг,ст.А12,50,НД,2,2,0,"2,064",0,0,0,,,,,,,,,,,,,,,,,,,,,,
541,30.04.2026,АР-117/0002,МЕТАЛЛСЕРВИС АО,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 50,0мм ст.10 h11 В НГ Н/Д консервация без упаковки",Круг,ст.10,50,НД,2,2,"2,064",0,"0,06","0,003","0,969","Круг г/к 52,0мм ст.10 В1 2ГП НД,",круг,ГОСТ 1050-2013 / ГОСТ 2590-2006,ст.10,52,НД,"8,33","2,06","6,27",,,,,,,,,,,,,
542,30.04.2026,АР-117/0002,МЕТАЛЛСЕРВИС АО,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 60,0мм ст.10 h11 В НГ Н/Д консервация без упаковки",Круг,ст.10,60,НД,1,1,"1,032",0,"0,03","0,002","0,969","Круг г/к 62,0мм ст.10 В1 2ГП НД,",круг,ГОСТ 1050-2013 / ГОСТ 2590-2006,ст.10,62,НД,"2,98","1,03","1,95",,,,,,,,,,,,,
543,30.04.2026,АР-117/0002,МЕТАЛЛСЕРВИС АО,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 50,0мм ст.20 h11 В НГ Н/Д консервация без упаковки",Круг,ст.20,50,НД,2,2,0,"2,064",0,0,0,,,,,,,,,,,,,,,,,,,,,,
544,30.04.2026,АР-117/0002,МЕТАЛЛСЕРВИС АО,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 56,0мм ст.20 h11 В НГ Н/Д консервация без упаковки",Круг,ст.20,56,НД,1,1,0,"1,032",0,0,0,,,,,,,,,,,,,,,,,,,,,,
545,30.04.2026,АР-117/0002,МЕТАЛЛСЕРВИС АО,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 60,0мм ст.20 h11 В НГ Н/Д консервация без упаковки",Круг,ст.20,60,НД,5,5,0,"5,159",0,0,0,,,,,,,,,,,,,,,,,,,,,,
546,30.04.2026,АР-117/0002,МЕТАЛЛСЕРВИС АО,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 50,0мм ст.35 h11 В НГ Н/Д консервация без упаковки",Круг,ст.35,50,НД,2,2,"2,064",0,"0,06","0,003","0,969","Круг г/к 52,0мм ст.35 В1 2ГП МД 6000,",круг,ГОСТ 1050-2013 / ГОСТ 2590-2006,ст.35,52,МД 6000,"2,40","2,06","0,33",,,,,,,,,,,,,
547,30.04.2026,АР-117/0002,МЕТАЛЛСЕРВИС АО,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 60,0мм ст.35 h11 В НГ Н/Д консервация без упаковки",Круг,ст.35,60,НД,2,2,0,"2,064",0,0,0,,,,,,,,,,,,,,,,,,,,,,
549,30.04.2026,АР-117/0002,МЕТАЛЛСЕРВИС АО,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 50,0мм ст.45 h11 В НГ Н/Д консервация без упаковки",Круг,ст.45,50,НД,5,5,4,"1,159","0,151","0,008","0,969","Круг г/к 52,0мм ст.45 В1 2ГП НД,",круг,ГОСТ 1050-2013 / ГОСТ 2590-2006,ст.45,52,НД,"4,00","4,00","0,00",,,,,,,,,,,,,
550,30.04.2026,АР-117/0002,МЕТАЛЛСЕРВИС АО,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 60,0мм ст.45 h11 В НГ Н/Д консервация без упаковки",Круг,ст.45,60,НД,2,2,0,"2,064",0,0,0,,,,,,,,,,,,,,,,,,,,,,
553,11.05.2026,АР-113/0001,ВОСТОКЭНЕРГО ООО,"ГОСТ 4543-2016/ГОСТ 7417-75 круг 50,0мм ст.40Х h9 В МД 4000 НГ консервация м/упаковка",Круг,ст.40Х,50,МД 6000,"1,233","1,233",0,"1,29",0,0,0,,,,,,,,,,,,,,,,,,,,,,
554,11.05.2026,АР-113/0001,ВОСТОКЭНЕРГО ООО,"ГОСТ 4543-2016/ГОСТ 7417-75 круг 60,0мм ст.40Х h9 В МД 4000 НГ консервация м/упаковка",Круг,ст.40Х,60,МД 6000,"1,331","1,331",0,"1,374",0,0,0,,,,,,,,,,,,,,,,,,,,,,
557,28.05.2026,АР-119/0001,ООО ПРОМКАЛИБР,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 14,5мм ст.45 h11 В НГ Н/Д консервация без упаковки",Круг,ст.45,"14,5",НД,5,5,"5,158",0,"0,151","0,007","0,969","Круг г/к 16,0мм ст.45 В1 2ГП НД,",круг,ГОСТ 1050-2013 / ГОСТ 2590-2006,ст.45,16,НД,"17,98","5,16","12,82",,,,,,,,,,,,,
558,28.05.2026,АР-119/0001,ООО ПРОМКАЛИБР,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 21,0мм ст.20 h11 В НГ НД консервация без упаковки",Круг,ст.20,21,НД,2,2,0,"2,064",0,0,0,,,,,,,,,,,,,,,,,,,,,,
559,28.05.2026,АР-119/0001,ООО ПРОМКАЛИБР,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 20,0мм ст.20 h11 В НГ Н/Д консервация без упаковки",Круг,ст.20,20,НД,3,3,0,"3,096",0,0,0,,,,,,,,,,,,,,,,,,,,,,
560,28.05.2026,АР-119/0001,ООО ПРОМКАЛИБР,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 25,0мм ст.35 h11 В НГ Н/Д консервация без упаковки",Круг,ст.35,25,НД,2,2,0,"2,064",0,0,0,,,,,,,,,,,,,,,,,,,,,,
561,28.05.2026,АР-119/0001,ООО ПРОМКАЛИБР,"ГОСТ 4543-2016/ГОСТ 7417-75 круг 27,65мм ст.40Х h11 В НГ Н/Д консервация без упаковки",Круг,ст.40Х,"27,6",НД,2,2,0,"2,063",0,0,0,,,,,,,,,,,,,,,,,,,,,,
562,28.05.2026,АР-119/0001,ООО ПРОМКАЛИБР,"ГОСТ 1414-75/ГОСТ 8560-78 шестигранник 17,0мм ст.А12 h11 В НГ Н/Д консервация без упаковки",Шестигранник,ст.А12,17,НД,3,3,0,"3,104",0,0,0,,,,,,,,,,,,,,,,,,,,,,
565,11.05.2026,АР-119/0002,ООО ИСКУССТВО ЛИНИЙ,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 60,0мм ст.35 h11 В НГ Н/Д консервация без упаковки",Круг,ст.35,60,НД,6,6,0,"6,191",0,0,0,,,,,,,,,,,,,,,,,,,,,,
566,11.05.2026,АР-119/0002,ООО ИСКУССТВО ЛИНИЙ,"ГОСТ 4543-2016/ГОСТ 8560-78 шестигранник 32,0мм ст.40Хх6000 h11 В НГ М/Д консервация без упаковки",Шестигранник,ст.40Х,32,МД 6000,2,2,0,"2,091",0,0,0,,,,,,,,,,,,,,,,,,,,,,
