Внутренняя нумерация,Дата отгрузки,№ Заказа,Клиент,Номенклатура,Профиль,Марка,Размер мм.,Длина,Кол-во тн в заказе,ИТОГО остаток к выполнению,Взято со склада (тн),ИТОГО остатка к завершению,Тех. отходы 2,Дел. Остатки 2,КИМ 2,Исходная Номенклатура/ наличие,Профиль,НТД,Марка стали,Размер,Длина,Исх. Остаток ст. (тн),Взято из остатка (тн),Свободный остаток (тн),Тех. отходы 3,Дел. Остатки 3,КИМ 3,ИТОГО остатка к завершению 3,Исходная Номенклатура/ ожидание,Профиль,Марка,Размер,Кол-во тн.,Длина,Дата размещения,Поставщик,Ожидаемая дата поставки
296,10.04.2026,АР-081/0009,"ОАО ""МТЗ""","ГОСТ 1050-2013/ГОСТ 7417-75 круг 18,0мм ст.45 h11 Б НГ Н/Д консервация без упаковки",Круг,ст.45,18,НД,20,"12,64","3,71","9,331","0,381","0,02","0,969","Круг г/к 20,0мм ст.45 В1 2ГП МД 6000,",круг,ГОСТ 1050-2013 / ГОСТ 2590-2006,ст.45,20,МД 6000,"3,71","3,71","0,00",,,,,,,,,,,,,
297,10.04.2026,АР-081/0009,"ОАО ""МТЗ""","ГОСТ 1050-2013/ГОСТ 7417-75 круг 18,5мм ст.45 h11 Б НГ Н/Д консервация без упаковки",Круг,ст.45,"18,5",НД,16,16,0,"16,508",0,0,0,,,,,,,,,,,,,,,,,,,,,,
298,10.04.2026,АР-081/0009,"ОАО ""МТЗ""","ГОСТ 1050-2013/ГОСТ 7417-75 круг 20,0мм ст.20 h11 Б НГ Н/Д 183-229 НВ консервация без упаковки",Круг,ст.20,20,НД,6,"2,425","1,57","0,932","0,073","0,004","0,969","Круг г/к 22,0мм ст.20 В1 2ГП МД 6000,",круг,ГОСТ 1050-2013 / ГОСТ 2590-2006,ст.20,22,МД 6000,"1,57","1,57","0,00",,,,,,,,,,,,,
300,10.04.2026,АР-081/0009,"ОАО ""МТЗ""","ГОСТ 1050-2013/ГОСТ 7417-75 круг 20,0мм ст.45 h11 Б НГ Н/Д 183-229 НВ консервация без упаковки",Круг,ст.45,20,НД,10,"0,89",0,"0,918",0,0,0,,,,,,,,,,,,,,,,,,,,,,
301,10.04.2026,АР-081/0009,"ОАО ""МТЗ""","ГОСТ 1050-2013/ГОСТ 7417-75 круг 20,5мм ст.45 h11 Б НГ Н/Д консервация без упаковки",Круг,ст.45,"20,5",НД,6,6,"5,76","0,43","0,181","0,009","0,969","Круг г/к 22,0мм ст.45 В1 2ГП МД 6000,",круг,ГОСТ 1050-2013 / ГОСТ 2590-2006,ст.45,22,МД 6000,"5,76","5,76","0,00",,,,,,,,,,,,,
302,10.04.2026,АР-081/0009,"ОАО ""МТЗ""","ГОСТ 1050-2013/ГОСТ 7417-75 круг 21,0мм ст.45 h11 Б НГ Н/Д 183-229 НВ консервация без упаковки",Круг,ст.45,21,НД,4,4,0,"4,128",0,0,0,,,,,,,,,,,,,,,,,,,,,,
303,10.04.2026,АР-081/0009,"ОАО ""МТЗ""","ГОСТ 1050-2013/ГОСТ 7417-75 круг 21,5мм ст.45 h11 Б НГ Н/Д 183-229 НВ консервация без упаковки",Круг,ст.45,"21,5",НД,20,20,"20,635",0,"0,603","0,032","0,969","Круг г/к 24,0мм ст.45 В1 2ГП МД 6000,",круг,ГОСТ 1050-2013 / ГОСТ 2590-2006,ст.45,24,МД 6000,"17,81","17,81","0,00",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Круг г/к 24,0мм ст.45 В1 2ГП НД,",круг,ГОСТ 1050-2013 / ГОСТ 2590-2006,ст.45,24,НД,"7,68","2,82","4,85",,,,,,,,,,,,,
306,10.04.2026,АР-081/0009,"ОАО ""МТЗ""","ГОСТ 1050-2013/ГОСТ 7417-75 круг 25,0мм ст.45 h11 Б НГ Н/Д консервация без упаковки",Круг,ст.45,25,НД,8,"5,622","5,801",0,"0,169","0,009","0,969","Круг г/к 26,0мм ст.45 В1 2ГП МД 6000,",круг,ГОСТ 1050-2013 / ГОСТ 2590-2006,ст.45,26,МД 6000,"8,04","5,80","2,23",,,,,,,,,,,,,
309,10.04.2026,АР-081/0009,"ОАО ""МТЗ""","ГОСТ 1050-2013/ГОСТ 7417-75 круг 25,9мм ст.45 h11 Б НГ Н/Д 183-229 НВ консервация без упаковки",Круг,ст.45,"25,9",НД,60,"54,072",0,"55,79",0,0,0,,,,,,,,,,,,,,,,,,,,,,
310,10.04.2026,АР-081/0009,"ОАО ""МТЗ""","ГОСТ 1050-2013/ГОСТ 7417-75 круг 26,0мм ст.35 h11 Б НГ Н/Д консервация без упаковки",Круг,ст.35,26,НД,12,"11,13","3,76","7,723","0,335","0,018","0,969","Круг г/к 28,0мм ст.35 В1 2ГП МД 6000,",круг,ГОСТ 1050-2013 / ГОСТ 2590-2006,ст.35,28,МД 6000,"0,66","0,66","0,00",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Круг г/к 28,0мм ст.35 В1 2ГП МД 6000,",круг,ГОСТ 1050-2013 / ГОСТ 2590-2006,ст.35,28,МД 6000,"3,10","3,10","0,00",,,,,,,,,,,,,
